TYPE	ACCESSION	ALIAS
EXPERIMENT	ERX9521218	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:492-28518
EXPERIMENT	ERX9521219	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:492-28520
EXPERIMENT	ERX9521220	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:492-28522
EXPERIMENT	ERX9521221	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:493-28524
EXPERIMENT	ERX9521222	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:493-28526
EXPERIMENT	ERX9521223	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:493-28528
EXPERIMENT	ERX9521224	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:494-28530
EXPERIMENT	ERX9521225	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:494-28532
EXPERIMENT	ERX9521226	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:494-28534
EXPERIMENT	ERX9521227	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:494-28536
EXPERIMENT	ERX9521228	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:495-28538
EXPERIMENT	ERX9521229	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:495-28540
EXPERIMENT	ERX9521230	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:495-28542
EXPERIMENT	ERX9521231	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:496-28544
EXPERIMENT	ERX9521232	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:496-28546
EXPERIMENT	ERX9521233	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:496-28548
EXPERIMENT	ERX9521234	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:496-28550
EXPERIMENT	ERX9521235	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:497-28552
EXPERIMENT	ERX9521236	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:497-28554
EXPERIMENT	ERX9521237	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:497-28556
EXPERIMENT	ERX9521238	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:497-28558
EXPERIMENT	ERX9521239	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:498-28560
EXPERIMENT	ERX9521240	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:498-28562
EXPERIMENT	ERX9521241	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:498-28564
EXPERIMENT	ERX9521242	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:498-28566
EXPERIMENT	ERX9521243	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:499-28568
EXPERIMENT	ERX9521244	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:499-28570
EXPERIMENT	ERX9521245	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:499-28572
EXPERIMENT	ERX9521246	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:499-28574
EXPERIMENT	ERX9521247	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:500-28576
EXPERIMENT	ERX9521248	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:500-28578
EXPERIMENT	ERX9521249	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:500-28580
EXPERIMENT	ERX9521250	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:501-28582
EXPERIMENT	ERX9521251	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:501-28584
EXPERIMENT	ERX9521252	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:501-28586
EXPERIMENT	ERX9521253	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:501-28588
EXPERIMENT	ERX9521254	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:502-28590
EXPERIMENT	ERX9521255	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:502-28592
EXPERIMENT	ERX9521256	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:502-28594
EXPERIMENT	ERX9521257	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:502-28596
EXPERIMENT	ERX9521258	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:503-28598
EXPERIMENT	ERX9521259	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:503-28600
EXPERIMENT	ERX9521260	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:503-28602
EXPERIMENT	ERX9521261	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:504-28604
EXPERIMENT	ERX9521262	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:504-28606
EXPERIMENT	ERX9521263	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:504-28608
EXPERIMENT	ERX9521264	ena-EXPERIMENT-TAB-22-07-2022-07:32:36:504-28610
